Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
65;"Faculdade Brasileira (MULTIVIX)";ES;Privada;;;46;14.58;28;6.58;;;1;8;;
67;"Universidade do Estado do Amazonas (UEA)";AM;Pública;0;0;48;14.55;56;5.11;63;1.44;1;8;;
68;"Instituto Federal de Educação, Ciência e Tecnologia da Bahia (IFBA)";BA;Pública;;;49;14.37;104;2.58;6;3.79;1;8;;
69;"Faculdades Integradas Urubupungá (FIU)";SP;Privada;;;50;13.84;42;5.84;;;1;8;;
70;"Faculdade Pitágoras de São Luiz";MA;Privada;;;52;13.68;45;5.68;;;1;8;;
71;"Universidade Estadual de Santa Cruz (UESC)";BA;Pública;0;0;53;13.53;48;5.53;;;1;8;;
72;"Centro Universitário Facvest (FACVEST)";SC;Privada;;;54;13.05;57;5.05;;;1;8;;
73;"Centro Universitário Anhanguera (UNIA)";SP;Privada;;;56;12.53;67;4.53;;;1;8;;
73;"Universidade Federal do Sul e Sudeste do Pará (UNIFESSPA)";PA;Pública;;;56;12.53;67;4.53;;;1;8;;
75;"Universidade Guarulhos (UNG)";SP;Privada;33;10.96;151;1.27;145;0.42;;;136;0.85;;
76;"Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais (IF SUL DE MINAS)";MG;Pública;;;58;11.84;80;3.84;;;1;8;;
77;"Faculdade Boa Viagem (FBV)";PE;Privada;;;59;11.74;82;3.74;;;1;8;;
78;"Faculdade Pitágoras de Jundiaí (PIT JUNDIAÍ)";SP;Privada;;;60;11.04;61;4.84;53;1.86;70;4.34;;
79;"Universidade do Vale do Paraíba (UNIVAP)";SP;Privada;;;61;10.97;35;6.21;61;1.53;91;3.23;;
80;"Universidade Federal de Itajubá (UNIFEI)";MG;Pública;0;0;64;10.77;41;5.9;;;60;4.87;0;0
81;"Universidade Santa Cecília (UNISANTA)";SP;Privada;0;0;65;10.4;53;5.26;75;0.95;73;4.19;;
82;"Universidade Regional do Noroeste do Estado do Rio Grande do Sul (UNIJUI)";RS;Privada;;;66;10.32;109;2.32;;;1;8;;
83;"Faculdade Senai-Cetiqt (SENAI-CETIQT)";RJ;Privada;0;0;67;10.29;140;0.68;59;1.61;1;8;;
84;"Faculdade do Centro Leste (UCL)";ES;Privada;;;68;10.28;89;3.37;23;3.09;80;3.82;;
85;"Faculdade Norte Capixaba de São Mateus (MULTIVIX)";ES;Privada;;;69;9.95;116;1.95;;;1;8;;
86;"Instituto Federal de Educação, Ciência e Tecnologia Sul-Rio-Grandense (IFSul)";RS;Pública;0;0;71;9.74;120;1.74;;;1;8;;
87;"Universidade Feevale (FEEVALE)";RS;Privada;;;72;9.44;73;4.21;69;1.2;76;4.03;;
88;"Universidade do Sagrado Coração (USC)";SP;Privada;0;0;74;8.98;58;5;76;0.91;94;3.07;0;0
89;"Faculdades Integradas Espírito Santenses (FAESA I)";ES;Privada;;;75;8.9;136;0.9;;;1;8;;
90;"Centro Universitário de Belo Horizonte (UNI-BH)";MG;Privada;0;0;77;8.84;78;3.95;45;2.19;101;2.7;;
91;"Universidade do Extremo Sul Catarinense (UNESC)";SC;Privada;0;0;78;8.77;95;3.05;66;1.32;69;4.4;;
92;"Centro Universitário Tupy";SC;Privada;;;79;8.72;96;3;48;2.06;83;3.66;;
93;"Faculdade Regional da Bahia (FARB)";BA;Privada;;;80;8.7;69;4.42;97;0.04;72;4.24;;
94;"Faculdade de São Bernardo do Campo (FASB I)";SP;Privada;0;0;81;8.66;55;5.16;89;0.37;93;3.13;;
95;"Universidade da Região de Joinville (UNIVILLE)";SC;Pública;;;82;8.39;87;3.47;70;1.16;81;3.76;;
96;"Centro Universitário Franciscano (UNIFRA)";RS;Privada;0;0;83;8.19;71;4.32;;;79;3.87;;
