Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
46;"Universidade Federal do Pará (UFPA)";PA;Pública;29;29.28;87;16.68;119;7.04;486;1.64;1;8;;
47;"Universidade do Grande Rio Professor José de Souza Herdy (UNIGRANRIO)";RJ;Privada;29;29.28;88;16.65;239;6.07;293;2.58;1;8;;
48;"Universidade Nove de Julho (UNINOVE)";SP;Privada;29;29.28;102;16.25;120;7.03;212;2.97;212;6.25;0;0
49;"Universidade Estadual de Santa Cruz (UESC)";BA;Pública;29;29.28;108;16.12;202;6.37;464;1.75;1;8;;
50;"Universidade Estadual da Paraíba (UEPB)";PB;Pública;29;29.28;119;15.94;356;5.12;243;2.82;1;8;;
51;"Universidade Regional do Cariri (URCA)";CE;Pública;29;29.28;129;15.73;268;5.83;433;1.9;1;8;;
52;"Universidade Norte do Paraná (UNOPAR)";PR;Privada;16;32.4;331;11.46;413;4.66;634;0.92;257;5.88;0;0
53;"Universidade Católica de Brasília (UCB)";DF;Privada;29;29.28;171;14.56;169;6.64;357;2.27;284;5.65;0;0
54;"Pontifícia Universidade Católica de Campinas (PUC-CAMPINAS)";SP;Privada;29;29.28;182;14.24;29;7.77;33;3.84;649;2.63;0;0
55;"Universidade do Estado de Minas Gerais (UEMG)";MG;Pública;29;29.28;202;13.72;452;4.34;140;3.32;235;6.06;0;0
56;"Universidade Estadual do Vale do Acaraú (UVA)";CE;Pública;6;34.8;631;7.96;777;1.7;429;1.92;442;4.34;;
57;"Universidade do Vale do Itajaí (UNIVALI)";SC;Privada;0;0;26;42.43;173;6.6;309;2.5;1;8;15;25.33
58;"Fundação Universidade do Estado de Santa Catarina (UDESC)";SC;Pública;0;0;28;41.67;26;7.8;254;2.77;270;5.77;15;25.33
59;"Universidade do Estado da Bahia (UNEB)";BA;Pública;16;32.4;532;9.08;466;4.23;636;0.91;491;3.94;0;0
60;"Universidade Católica de Pernambuco (UNICAP)";PE;Privada;16;32.4;547;8.94;271;5.81;;;588;3.13;;
61;"Centro Universitário Adventista de São Paulo (UNASP)";SP;Privada;29;29.28;294;12.02;332;5.31;233;2.87;503;3.84;;
62;"Universidade Federal de Viçosa (UFV)";MG;Pública;65;20.64;40;19.46;33;7.74;58;3.72;1;8;;
63;"Universidade de Pernambuco (UPE)";PE;Pública;16;32.4;646;7.67;867;0.97;566;1.25;309;5.45;;
