Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
46;"Universidade do Estado da Bahia (UNEB)";BA;Pública;36;18.97;55;15.42;23;7.42;;;1;8;0;0
47;"Universidade Federal de Sergipe (UFS)";SE;Pública;36;18.97;56;15.34;98;5.44;104;1.9;1;8;0;0
48;"Fundação Universidade Federal do Tocantins (UFT)";TO;Pública;36;18.97;58;15.23;106;5.23;99;2;1;8;;
49;"Universidade Estadual do Maranhão (UEMA)";MA;Pública;36;18.97;63;14.73;90;5.65;23;3.55;94;5.53;;
50;"Pontifícia Universidade Católica de Goiás (PUC GOIÁS)";GO;Privada;16;28.7;263;4.08;249;1.45;131;1.35;254;1.28;0;0
51;"Universidade do Sagrado Coração (USC)";SP;Privada;36;18.97;75;13.4;64;6.34;88;2.22;120;4.84;;
52;"Centro Universitário Una (UNA)";MG;Privada;36;18.97;88;12.69;60;6.44;34;3.33;192;2.92;0;0
53;"Centro Universitário de João Pessoa (UNIPÊ)";PB;Privada;36;18.97;89;12.68;166;3.64;146;1.04;1;8;0;0
54;"Universidade de Cuiabá (UNIC / PITÁGORAS)";MT;Privada;36;18.97;98;12.22;103;5.31;141;1.14;85;5.77;;
55;"Universidade de Taubaté (UNITAU)";SP;Pública;36;18.97;104;11.98;75;6.05;172;0.51;98;5.42;;
56;"Centro Universitário Newton Paiva (NEWTON PAIVA)";MG;Privada;36;18.97;105;11.97;124;4.75;31;3.39;158;3.83;0;0
57;"Universidade Católica de Brasília (UCB)";DF;Privada;36;18.97;107;11.77;150;4.07;67;2.65;112;5.05;;
58;"Faculdade de Ciências Humanas Esuda (FCHE)";PE;Privada;36;18.97;115;11.05;94;5.55;163;0.69;121;4.81;;
59;"Universidade do Vale do Itajaí (UNIVALI)";SC;Privada;0;0;31;29.95;181;3.25;149;0.98;91;5.61;20;20.11
