Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
104;"Universidade Potiguar (UNP)";RN;Privada;0;0;78;11.66;63;5.99;135;0.92;101;4.75;;
105;"Instituto de Estudos Superiores da Amazônia (IESAM)";PA;Privada;;;79;11.6;72;5.7;81;2.16;132;3.74;;
106;"Faculdade Anchieta de Ensino Superior do Paraná (FAESP)";PR;Privada;;;80;11.56;79;5.47;111;1.47;105;4.62;;
107;"Faculdade Dom Bosco de Porto Alegre (FDB)";RS;Privada;;;81;11.41;62;6.02;38;3.15;178;2.24;;
108;"Fae Centro Universitário (FAE)";PR;Privada;;;82;11.34;86;5.25;74;2.32;131;3.77;;
109;"Universidade Camilo Castelo Branco (UNICASTELO)";SP;Privada;0;0;83;11.23;48;6.48;;;101;4.75;;
110;"Centro Universitário Salesiano de São Paulo (UNISAL)";SP;Privada;0;0;85;11.17;37;6.83;98;1.77;168;2.57;;
111;"Centro Universitário Geraldo Di Biase (UGB)";RJ;Privada;;;86;11.16;75;5.6;123;1.2;113;4.36;;
112;"Centro Universitário de União da Vitória (UNIUV)";PR;Pública;;;87;11.11;230;0.58;65;2.53;1;8;;
113;"Instituto Federal de Educação, Ciência e Tecnologia de Goiás (IFG)";GO;Pública;;;89;10.95;157;2.95;;;1;8;;
114;"Universidade do Sul de Santa Catarina (UNISUL)";SC;Privada;0;0;90;10.88;113;4.37;43;3.03;140;3.48;;
115;"Faculdade Regional da Bahia (FARB)";BA;Privada;;;94;10.67;77;5.54;150;0.58;107;4.55;;
116;"Faculdade Metropolitana de Manaus (FAMETRO)";AM;Privada;;;95;10.65;49;6.45;;;118;4.2;;
117;"Centro Universitário Univates (UNIVATES)";RS;Privada;0;0;96;10.63;129;3.85;54;2.78;124;4;;
117;"Faculdade Padre João Bagozzi (FACULDADE BAGOZZI)";PR;Privada;;;96;10.63;1;8;;;166;2.63;;
119;"Centro Universitário Serra dos Órgãos (UNIFESO)";RJ;Privada;;;98;10.49;138;3.56;83;2.12;99;4.81;;
120;"Universidade do Grande Rio Professor José de Souza Herdy (UNIGRANRIO)";RJ;Privada;;;99;10.4;174;2.4;;;1;8;;
121;"Instituto Federal de Educação, Ciência e Tecnologia Fluminense (IF Fluminense)";RJ;Pública;;;101;10.36;175;2.36;;;1;8;;
122;"Universidade Ibirapuera (UNIB)";SP;Privada;;;103;10.22;43;6.64;;;137;3.58;;
