Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
82;"Centro Universitário Fundação Santo André (CUFSA)";SP;Pública;0;0;78;6.18;48;4.28;41;1.58;97;0.32;;
83;"Faculdade América Latina";RS;Privada;;;80;5.47;78;1.9;16;3.09;95;0.48;;
84;"Universidade Potiguar (UNP)";RN;Privada;;;81;5.44;74;2.22;60;0.42;66;2.8;;
85;"Universidade Metodista de Piracicaba (UNIMEP)";SP;Privada;0;0;82;5.24;45;4.52;;;92;0.72;;
86;"Faculdade Asces (ASCES)";PE;Privada;;;83;5.17;61;3.25;;;77;1.92;;
87;"Faculdade Damas da Instrução Cristã (FADIC)";PE;Privada;;;84;4.97;50;4.12;57;0.61;98;0.24;;
88;"Universidade Veiga de Almeida (UVA)";RJ;Privada;;;85;4.69;59;3.41;;;85;1.28;;
89;"Instituto de Ensino Superior de Bauru (IESB)";SP;Privada;;;86;4.39;84;1.43;;;64;2.96;;
90;"Faculdade Esamc Sorocaba (ESAMC)";SP;Privada;;;87;4.13;96;0.48;45;1.33;72;2.32;;
91;"Faculdade Santa Marcelina (FASM)";SP;Privada;;;88;4.1;64;3.01;49;1.09;;;;
92;"Faculdade Esamc Santos (ESAMC)";SP;Privada;;;89;4.08;99;0.24;;;53;3.84;;
93;"Escola Superior de Administração, Marketing e Comunicação de Piracicaba (ESAMC PIRACICABA)";SP;Privada;;;90;4.02;97;0.4;10;3.46;99;0.16;;
94;"Centro Universitário Senac (SENACSP)";SP;Privada;;;92;3.9;73;2.3;;;81;1.6;0;0
95;"Centro Universitário Lusíada (UNILUS)";SP;Privada;;;93;3.7;80;1.74;65;0.12;78;1.84;;
96;"Centro Universitário Anhanguera de São Paulo";SP;Privada;0;0;94;3.68;100;0.16;;;57;3.52;;
97;"Faculdade Anhangüera de Dourados (FAD)";MS;Privada;;;95;3.6;101;0.08;;;57;3.52;;
98;"Centro Universitário Hermínio da Silveira (UNI IBMR)";RJ;Privada;;;97;3.26;75;2.14;;;87;1.12;;
99;"Faculdade Esamc Campinas (ESAMC)";SP;Privada;0;0;99;3.08;92;0.79;53;0.85;83;1.44;;
100;"Universidade Católica de Petrópolis (UCP)";RJ;Privada;;;100;2.55;83;1.51;;;88;1.04;;
101;"Faculdade do Instituto Nacional de Pós-Graduação de São José dos Campos (FACULDADE INPG - SJC)";SP;Privada;;;101;1.99;89;1.03;;;89;0.96;;
102;"Faculdade Anglo-Americano de Passo Fundo (FAAPF)";RS;Privada;;;102;0.24;;;63;0.24;;;0;0
