Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
47;"Universidade Federal de Mato Grosso (UFMT)";MT;Pública;40;23.79;54;16.43;109;5.25;54;3.18;1;8;0;0
48;"Universidade Estadual de Santa Cruz (UESC)";BA;Pública;40;23.79;59;15.98;74;6.14;140;1.84;1;8;;
49;"Universidade do Estado da Bahia (UNEB)";BA;Pública;10;33.18;239;6.23;256;1.5;194;1;164;3.73;;
50;"Fundação Universidade Federal do Tocantins (UFT)";TO;Pública;40;23.79;75;14.77;69;6.27;226;0.5;1;8;;
51;"Universidade Regional do Cariri (URCA)";CE;Pública;40;23.79;83;13.76;139;4.48;176;1.28;1;8;;
51;"Universidade de Cuiabá (UNIC / PITÁGORAS)";MT;Privada;40;23.79;84;13.76;89;5.76;;;1;8;;
53;"Universidade de Pernambuco (UPE)";PE;Pública;22;29.43;195;7.91;221;2.4;145;1.76;163;3.75;;
54;"Universidade Nove de Julho (UNINOVE)";SP;Privada;40;23.79;89;13.46;78;6.04;66;2.99;137;4.43;;
55;"Universidade Estadual de Feira de Santana (UEFS)";BA;Pública;40;23.79;93;13.38;129;4.74;217;0.64;1;8;;
56;"Universidade Tecnológica Federal do Paraná (UTFPR)";PR;Pública;0;0;18;37.11;53;6.68;13;3.81;1;8;16;18.62
57;"Universidade Estadual da Paraíba (UEPB)";PB;Pública;40;23.79;102;12.59;181;3.41;182;1.18;1;8;;
58;"Universidade Católica de Pernambuco (UNICAP)";PE;Privada;22;29.43;228;6.61;108;5.27;;;255;1.34;;
59;"Universidade Federal de Mato Grosso do Sul (UFMS)";MS;Pública;40;23.79;114;11.83;114;5.12;125;2.07;129;4.64;;
60;"Universidade Regional do Noroeste do Estado do Rio Grande do Sul (UNIJUI)";RS;Privada;40;23.79;124;11.38;157;4.03;34;3.49;159;3.86;;
61;"Universidade Metodista de São Paulo (UMESP)";SP;Privada;40;23.79;137;10.66;147;4.28;116;2.21;147;4.17;;
62;"Universidade do Sul de Santa Catarina (UNISUL)";SC;Privada;40;23.79;141;10.52;134;4.61;60;3.08;198;2.83;;
63;"Universidade Estadual do Maranhão (UEMA)";MA;Pública;22;29.43;281;3.76;270;1.15;161;1.51;264;1.1;;
64;"Pontifícia Universidade Católica de São Paulo (PUCSP)";SP;Privada;10;33.18;;0;;;;;;;0;0
65;"Universidade do Estado do Rio Grande do Norte (UERN)";RN;Pública;40;23.79;168;9.24;274;1.05;246;0.19;1;8;;
66;"Universidade Cruzeiro do Sul (UNICSUL)";SP;Privada;40;23.79;171;9.2;61;6.47;234;0.37;216;2.36;;
67;"Pontifícia Universidade Católica de Goiás (PUC GOIÁS)";GO;Privada;40;23.79;172;9.19;71;6.22;113;2.26;279;0.71;;
68;"Pontifícia Universidade Católica de Campinas (PUC-CAMPINAS)";SP;Privada;40;23.79;176;8.91;101;5.45;49;3.25;298;0.21;0;0
69;"Fundação Universidade Federal do Abc (UFABC)";SP;Pública;76;12.52;27;19.98;1;8;2;3.98;1;8;0;0
70;"Universidade Federal de São Paulo (UNIFESP)";SP;Pública;76;12.52;28;19.24;1;8;50;3.24;1;8;0;0
71;"Universidade Estadual do Norte Fluminense Darcy Ribeiro (UENF)";RJ;Pública;76;12.52;30;19;1;8;65;3;1;8;;
72;"Universidade Tiradentes (UNIT)";SE;Privada;40;23.79;198;7.72;188;3.24;137;1.88;207;2.6;;
73;"Universidade Estadual do Oeste do Paraná (UNIOESTE)";PR;Pública;76;12.52;36;18.42;49;6.78;24;3.64;1;8;;
74;"Universidade Salgado de Oliveira (UNIVERSO)";RJ;Privada;40;23.79;223;6.85;195;3.06;183;1.17;206;2.62;;
75;"Centro Universitário Fundação Santo André (CUFSA)";SP;Pública;40;23.79;225;6.68;160;3.95;103;2.41;294;0.32;;
76;"Universidade Estadual de Goiás (UEG)";GO;Pública;40;23.79;230;6.55;304;0.28;179;1.23;114;5.04;;
77;"Universidade Católica do Salvador (UCSAL)";BA;Privada;40;23.79;236;6.29;202;2.88;150;1.68;240;1.73;;
78;"Universidade Federal de Ouro Preto (UFOP)";MG;Pública;76;12.52;38;17.43;35;7.13;110;2.3;1;8;;
79;"Universidade Estadual de Alagoas (UNEAL)";AL;Pública;40;23.79;241;6.1;276;0.99;233;0.39;126;4.72;;
80;"Universidade Federal de Pelotas (UFPEL)";RS;Pública;76;12.52;49;16.76;24;7.41;171;1.35;1;8;;
81;"Centro Universitário Augusto Motta (UNISUAM)";RJ;Privada;76;12.52;64;15.57;18;7.57;;;1;8;;
82;"Universidade de Franca (UNIFRAN)";SP;Privada;40;23.79;276;3.94;209;2.7;254;0.06;261;1.18;;
83;"Universidade Federal do Amazonas (UFAM)";AM;Pública;76;12.52;72;14.91;104;5.38;160;1.53;1;8;;
84;"Universidade do Estado de Mato Grosso (UNEMAT)";MT;Pública;76;12.52;73;14.84;140;4.46;105;2.38;1;8;;
85;"Universidade do Oeste Paulista (UNOESTE)";SP;Privada;76;12.52;76;14.73;48;6.8;5;3.94;154;3.99;;
86;"Universidade do Estado do Pará (UEPA)";PA;Pública;40;23.79;292;2.79;259;1.43;;;254;1.36;0;0
87;"Universidade Estadual do Sudoeste da Bahia (UESB)";BA;Pública;76;12.52;84;13.76;136;4.56;181;1.2;1;8;;
88;"Instituto Federal de Educação, Ciência e Tecnologia da Bahia (IFBA)";BA;Pública;76;12.52;87;13.63;216;2.52;58;3.11;1;8;;
89;"Universidade Estadual de Montes Claros (UNIMONTES)";MG;Pública;76;12.52;90;13.44;230;2.17;48;3.27;1;8;;
90;"Fundação Universidade do Estado de Santa Catarina (UDESC)";SC;Pública;76;12.52;91;13.43;65;6.37;17;3.75;180;3.31;;
91;"Universidade do Extremo Sul Catarinense (UNESC)";SC;Privada;76;12.52;121;11.47;167;3.77;55;3.16;133;4.54;;
92;"Universidade Católica de Santos (UNISANTOS)";SP;Privada;76;12.52;126;11.23;156;4.05;72;2.9;143;4.28;;
93;"Centro Universitário de Belo Horizonte (UNI-BH)";MG;Privada;76;12.52;136;10.67;97;5.55;92;2.58;209;2.54;;
94;"Centro Universitário Jorge Amado (UNIJORGE)";BA;Privada;76;12.52;138;10.63;88;5.78;211;0.73;149;4.12;;
95;"Universidade de Taubaté (UNITAU)";SP;Pública;76;12.52;142;10.51;159;3.98;122;2.12;138;4.41;;
96;"Universidade do Estado do Amazonas (UEA)";AM;Pública;76;12.52;154;10.12;246;1.76;235;0.36;1;8;;
97;"Universidade Metropolitana de Santos (UNIMES)";SP;Privada;76;12.52;159;9.95;91;5.71;203;0.86;177;3.38;;
