Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
73;"Centro Universitário Luterano de Palmas (CEULP)";TO;Privada;0;0;49;13.8;51;5.8;;;1;8;;
74;"Universidade Federal do Oeste da Bahia (UFOB)";BA;Pública;;;50;13.54;57;5.54;;;1;8;;
75;"Instituto Federal de Educação, Ciência e Tecnologia Catarinense (IF Catarinense)";SC;Pública;;;52;13.41;60;5.41;;;1;8;;
76;"Instituto Federal de Educação, Ciência e Tecnologia Goiano (IF Goiano)";GO;Pública;;;55;12.88;72;4.88;;;1;8;;
77;"Faculdade de Ensino Superior e Formação Integral (FAEF)";SP;Privada;0;0;57;12.62;88;4.18;122;0.44;1;8;;
78;"Universidade Cruzeiro do Sul (UNICSUL)";SP;Privada;;;58;12.56;26;6.9;82;1.62;91;4.04;;
79;"Universidade de Santo Amaro (UNISA)";SP;Privada;;;60;12.23;41;6.24;50;2.56;105;3.43;;
80;"Centro Universitário de Mineiros (UNIFIMES)";GO;Pública;0;0;61;12.13;89;4.13;;;1;8;;
81;"Faculdade Doutor Francisco Maeda (FAFRAM)";SP;Privada;;;63;12.09;50;5.85;43;2.77;104;3.47;0;0
82;"Universidade de Franca (UNIFRAN)";SP;Privada;0;0;64;12;54;5.67;49;2.59;98;3.74;0;0
83;"Universidade Federal de Roraima (UFRR)";RR;Pública;;;66;11.6;101;3.6;;;1;8;;
83;"Centro Universitário de Belo Horizonte (UNI-BH)";MG;Privada;;;66;11.6;28;6.81;;;74;4.79;;
85;"Centro Universitário Moura Lacerda (CUML)";SP;Privada;;;68;11.59;24;6.99;48;2.62;138;1.98;;
86;"Instituto Federal de Educação, Ciência e Tecnologia do Amazonas (IFAM)";AM;Pública;;;69;11.34;107;3.34;;;1;8;;
87;"Universidade do Oeste Paulista (UNOESTE)";SP;Privada;0;0;71;11.23;44;6.11;114;0.68;82;4.44;0;0
88;"Universidade Estadual do Maranhão (UEMA)";MA;Pública;0;0;72;11.1;93;3.96;72;1.91;64;5.23;;
89;"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba (IFPB)";PB;Pública;;;73;10.99;115;2.99;;;1;8;;
90;"Faculdades Adamantinenses Integradas (FAI)";SP;Pública;0;0;75;10.78;59;5.45;113;0.71;78;4.62;;
91;"Instituto Federal de Educação, Ciência e Tecnologia do Norte de Minas Gerais (IFNMG)";MG;Pública;;;77;10.46;127;2.46;;;1;8;;
92;"Centro Universitário Barão de Mauá (CBM)";SP;Privada;;;78;10.11;36;6.46;92;1.32;130;2.33;;
93;"Faculdades Integradas da União Educacional do Planalto Central (FACIPLAC)";DF;Privada;0;0;79;10.07;74;4.79;128;0.27;69;5.01;;
94;"Universidade do Contestado (UNC)";SC;Pública;0;0;81;9.99;116;2.95;56;2.38;77;4.66;;
95;"Universidade Regional do Noroeste do Estado do Rio Grande do Sul (UNIJUI)";RS;Privada;0;0;83;9.87;92;4;57;2.35;103;3.52;;
96;"Faculdades Integradas de Ourinhos (FIO)";SP;Privada;;;84;9.67;77;4.66;67;2.06;116;2.95;;
97;"Universidade de Passo Fundo (UPF)";RS;Privada;0;0;85;9.64;65;5.19;62;2.21;132;2.24;0;0
97;"Centro de Ensino Superior de Valença (CESVA)";RJ;Privada;0;0;85;9.64;82;4.44;47;2.65;125;2.55;;
99;"Universidade do Grande Rio Professor José de Souza Herdy (UNIGRANRIO)";RJ;Privada;0;0;87;9.63;114;3.03;95;1.24;61;5.36;;
100;"Faculdades Integradas do Norte de Minas (FUNORTE)";MG;Privada;;;88;9.58;167;0.7;107;0.88;1;8;;
101;"Faculdade de Getúlio Vargas (FACULDADE IDEAU)";RS;Privada;;;89;9.54;148;1.54;;;1;8;;
102;"Faculdade de Ciências Agrárias e da Saúde (FAS)";BA;Privada;;;92;9.19;157;1.14;23;3.35;76;4.7;;
103;"Universidade Potiguar (UNP)";RN;Privada;;;93;9.14;57;5.54;;;101;3.6;;
104;"Centro Universitário Serra dos Órgãos (UNIFESO)";RJ;Privada;;;94;9.1;91;4.04;119;0.53;80;4.53;0;0
105;"Centro Universitário Luterano de Ji-Paraná (CEULJI/ULBRA)";RO;Privada;0;0;95;8.82;173;0.44;124;0.38;1;8;;
106;"Centro Universitário Central Paulista (UNICEP)";SP;Privada;;;99;8.53;39;6.33;;;133;2.2;;
107;"Faculdade Integrado de Campo Mourão (CEI)";PR;Privada;;;100;8.49;136;2.07;10;3.74;122;2.68;;
108;"Faculdade de Castelo (FACASTELO)";ES;Privada;;;101;8.22;151;1.41;31;3.12;99;3.69;;
109;"Universidade José do Rosário Vellano (UNIFENAS)";MG;Privada;0;0;102;8.21;73;4.84;133;0.12;109;3.25;;
110;"Universidade Camilo Castelo Branco (UNICASTELO)";SP;Privada;;;103;8.2;112;3.12;96;1.21;95;3.87;;
111;"Centro Universitário de Rio Preto (UNIRP)";SP;Privada;0;0;104;8.17;95;3.87;103;1;108;3.3;;
112;"Centro Universitário Católico Salesiano Auxilium (UNISALESIANO)";SP;Privada;;;105;8.14;75;4.75;;;106;3.39;;
113;"Centro Universitário do Norte Paulista (UNORP)";SP;Privada;;;106;8.13;66;5.14;;;115;2.99;;
114;"Centro Universitário Filadélfia (UNIFIL)";PR;Privada;0;0;107;8.03;113;3.08;33;3.06;140;1.89;;
115;"Universidade do Oeste de Santa Catarina (UNOESC)";SC;Pública;;;108;7.9;139;1.93;76;1.79;88;4.18;;
116;"Faculdades Integradas Aparício Carvalho (FIMCA)";RO;Privada;0;0;110;7.87;175;0.35;59;2.29;64;5.23;;
