Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
47;"Universidade Potiguar (UNP)";RN;Privada;19;28;124;8.51;95;4.44;127;0.79;125;3.28;;
48;"Universidade do Oeste Paulista (UNOESTE)";SP;Privada;19;28;138;7.73;111;3.83;150;0.2;114;3.7;;
49;"Centro Universitário do Estado do Pará (CESUPA)";PA;Privada;19;28;145;7.19;135;2.92;140;0.46;111;3.81;0;0
49;"Pontifícia Universidade Católica de Campinas (PUC-CAMPINAS)";SP;Privada;19;28;144;7.19;127;3.22;26;3.36;195;0.61;;
51;"Universidade Anhanguera (UNIDERP)";MS;Privada;19;28;149;6.83;172;1.52;66;2.34;133;2.97;;
52;"Centro Universitário São Camilo (SAO CAMILO)";SP;Privada;19;28;153;6.12;102;4.17;122;0.92;184;1.03;0;0
53;"Pontifícia Universidade Católica do Paraná (PUCPR)";PR;Privada;19;28;164;5.73;152;2.28;48;2.8;194;0.65;;
54;"Pontifícia Universidade Católica de Minas Gerais (PUC MINAS)";MG;Privada;19;28;166;5.54;76;5.16;;;201;0.38;;
55;"Universidade de Passo Fundo (UPF)";RS;Privada;19;28;171;5.33;178;1.29;16;3.62;200;0.42;0;0
56;"Centro Universitário de Anápolis (UNIEVANGÉLICA)";GO;Privada;19;28;174;5.14;174;1.44;41;2.98;192;0.72;;
57;"Universidade do Estado do Pará (UEPA)";PA;Pública;19;28;184;4.68;168;1.67;;;132;3.01;0;0
58;"Faculdade de Ciências Médicas de Minas Gerais (FCMMG)";MG;Privada;19;28;187;4.54;188;0.91;35;3.13;198;0.5;;
59;"Universidade do Sul de Santa Catarina (UNISUL)";SC;Privada;19;28;188;4.48;185;1.02;55;2.62;189;0.84;;
60;"Pontifícia Universidade Católica de Goiás (PUC GOIÁS)";GO;Privada;19;28;204;2.9;177;1.33;98;1.53;210;0.04;;
60;"Universidade Federal de São Carlos (UFSCAR)";SP;Pública;56;11.56;27;19.34;9;7.7;15;3.64;1;8;;
62;"Universidade Estadual do Piauí (UESPI)";PI;Pública;56;11.56;48;15.23;106;4.02;32;3.21;1;8;;
63;"Universidade Nove de Julho (UNINOVE)";SP;Privada;0;0;26;26.53;19;7.32;94;1.63;105;4.04;19;13.54
64;"Universidade Federal do Maranhão (UFMA)";MA;Pública;56;11.56;53;14.91;74;5.23;92;1.68;1;8;;
65;"Universidade Federal de Viçosa (UFV)";MG;Pública;56;11.56;65;13.12;77;5.12;;;1;8;;
66;"Universidade do Estado do Rio Grande do Norte (UERN)";RN;Pública;56;11.56;85;11.14;210;0.08;38;3.06;1;8;;
67;"Universidade de Ribeirão Preto (UNAERP)";SP;Privada;56;11.56;88;10.83;54;5.99;83;1.91;134;2.93;;
68;"Universidade Luterana do Brasil (ULBRA)";RS;Privada;56;11.56;104;9.48;105;4.06;113;1.15;99;4.27;0;0
69;"Universidade de Taubaté (UNITAU)";SP;Pública;56;11.56;112;9.01;97;4.36;73;2.17;146;2.48;;
70;"Universidade Católica de Pelotas (UCPEL)";RS;Privada;56;11.56;120;8.56;126;3.26;86;1.83;120;3.47;0;0
71;"Escola de Medicina Souza Marques da Fundação Técnico-Educacional Souza Marques (EMSM)";RJ;Privada;56;11.56;121;8.55;147;2.46;103;1.4;88;4.69;;
72;"Faculdade de Ciências Médicas e da Saúde de Juiz de Fora (FCMS/JF)";MG;Privada;56;11.56;124;8.51;103;4.13;77;2.06;150;2.32;;
73;"Centro Universitário Barão de Mauá (CBM)";SP;Privada;56;11.56;134;7.92;72;5.31;93;1.66;186;0.95;;
74;"Universidade de Caxias do Sul (UCS)";RS;Privada;56;11.56;135;7.82;129;3.15;39;3.03;168;1.64;;
75;"Universidade Vila Velha (UVV)";ES;Privada;56;11.56;136;7.8;155;2.16;107;1.3;97;4.34;;
76;"Universidade Federal de Ouro Preto (UFOP)";MG;Pública;0;0;28;18.52;14;7.51;40;3.01;1;8;;
77;"Universidade Estadual de Montes Claros (UNIMONTES)";MG;Pública;56;11.56;153;6.12;203;0.34;85;1.86;108;3.92;;
78;"Universidade de Santa Cruz do Sul (UNISC)";RS;Privada;56;11.56;155;6.05;133;3;82;1.94;182;1.11;;
79;"Universidade de Franca (UNIFRAN)";SP;Privada;56;11.56;157;6;110;3.87;;;155;2.13;;
80;"Faculdade Integral Diferencial (FACID)";PI;Privada;56;11.56;165;5.69;187;0.95;135;0.59;102;4.15;;
81;"Universidade Estácio de Sá (UNESA)";RJ;Privada;56;11.56;168;5.51;125;3.3;116;1.07;181;1.14;;
82;"Faculdade de Medicina de Jundiaí (FMJ)";SP;Pública;0;0;34;16.95;58;5.84;36;3.11;1;8;;
83;"Centro Universitário de Volta Redonda (UNIFOA)";RJ;Privada;;;35;16.91;55;5.95;42;2.96;1;8;0;0
84;"Universidade de Cuiabá (UNIC / PITÁGORAS)";MT;Privada;56;11.56;172;5.23;196;0.61;137;0.54;104;4.08;;
85;"Universidade Federal do Rio Grande (FURG)";RS;Pública;0;0;37;16.52;78;5.08;23;3.44;1;8;;
86;"Centro Universitário Christus (UNICHRISTUS)";CE;Privada;0;0;40;16.17;59;5.8;65;2.37;1;8;;
87;"Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM)";MG;Pública;;;41;16;1;8;;;1;8;;
88;"União das Faculdades dos Grandes Lagos (UNILAGO)";SP;Privada;0;0;45;15.47;15;7.47;;;1;8;;
89;"Universidade Federal do Estado do Rio de Janeiro (UNIRIO)";RJ;Pública;0;0;46;15.34;71;5.35;80;1.99;1;8;;
90;"Faculdade Ceres (FACERES)";SP;Privada;0;0;47;15.24;21;7.24;;;1;8;;
91;"Faculdade de Medicina Nova Esperança (FAMENE)";PB;Privada;0;0;49;15.19;35;6.71;139;0.48;1;8;;
92;"Universidade Federal de Alfenas (UNIFAL-MG)";MG;Pública;0;0;50;15.13;24;7.13;;;1;8;;
93;"Instituto Superior de Teologia Aplicada (INTA)";CE;Privada;0;0;51;15.05;26;7.05;;;1;8;;
94;"Universidade Municipal de São Caetano do Sul (USCS)";SP;Pública;;;52;14.98;28;6.98;;;1;8;0;0
95;"Faculdade Evangélica do Paraná (FEPAR)";PR;Privada;56;11.56;201;3.32;166;1.74;99;1.5;209;0.08;;
96;"Universidade Presidente Antônio Carlos (UNIPAC)";MG;Privada;56;11.56;203;3.21;173;1.48;144;0.36;175;1.37;;
97;"Universidade Federal do Oeste da Bahia (UFOB)";BA;Pública;;;54;14.56;39;6.56;;;1;8;;
98;"Universidade Federal da Fronteira Sul (UFFS)";SC;Pública;;;55;14.41;43;6.41;;;1;8;;
99;"Universidade Federal de São João Del Rei (UFSJ)";MG;Pública;;;57;14.16;108;3.94;71;2.22;1;8;;
100;"Centro Universitário de João Pessoa (UNIPÊ)";PB;Privada;;;58;14.1;51;6.1;;;1;8;;
101;"Universidade Estadual do Oeste do Paraná (UNIOESTE)";PR;Pública;0;0;59;13.84;156;2.12;12;3.72;1;8;;
102;"Faculdade Metropolitana da Amazônia (FAMAZ)";PA;Privada;;;60;13.76;60;5.76;;;1;8;;
103;"Universidade do Estado da Bahia (UNEB)";BA;Pública;;;61;13.69;62;5.69;;;1;8;;
104;"Universidade do Ceuma (UNICEUMA)";MA;Privada;0;0;63;13.42;73;5.27;152;0.15;1;8;0;0
105;"Faculdade Alfredo Nasser (FAN)";GO;Privada;;;66;12.97;81;4.97;;;1;8;;
106;"Fundação Universidade Federal do Tocantins (UFT)";TO;Pública;;;67;12.92;140;2.73;72;2.19;1;8;;
107;"Fundação Universidade Federal de Rondônia (UNIR)";RO;Pública;0;0;68;12.9;150;2.35;58;2.55;1;8;;
108;"Faculdade de Medicina do Abc (FMABC)";SP;Privada;0;0;69;12.89;52;6.07;4;3.92;135;2.9;;
109;"Faculdade de Ciências Agrárias e da Saúde (FAS)";BA;Privada;;;70;12.85;84;4.85;;;1;8;0;0
110;"Escola Superior de Ciências da Saúde (ESCS)";DF;Pública;;;71;12.69;183;1.1;17;3.59;1;8;0;0
111;"Universidade Federal do Cariri (UFCA)";CE;Pública;;;72;12.63;176;1.37;30;3.26;1;8;;
112;"Universidade Federal da Integração Latino-Americana (UNILA)";PR;Pública;0;0;73;12.51;93;4.51;;;1;8;;
113;"Universidade Federal do Acre (UFAC)";AC;Pública;;;74;12.5;145;2.54;81;1.96;1;8;;
114;"Universidade Estadual de Ponta Grossa (UEPG)";PR;Pública;0;0;75;12.4;96;4.4;;;1;8;;
115;"Universidade Federal do Amazonas (UFAM)";AM;Pública;0;0;76;12.35;151;2.31;78;2.04;1;8;0;0
116;"Universidade Estadual de Ciências da Saúde de Alagoas (UNCISAL)";AL;Pública;0;0;78;12.05;124;3.34;130;0.71;1;8;;
117;"Universidade do Estado de Mato Grosso (UNEMAT)";MT;Pública;;;80;11.79;112;3.79;;;1;8;;
118;"Universidade Estadual do Sudoeste da Bahia (UESB)";BA;Pública;0;0;82;11.72;208;0.15;18;3.57;1;8;;
119;"Universidade Federal do Amapá (UNIFAP)";AP;Pública;;;83;11.68;115;3.68;;;1;8;;
120;"Universidade Estadual de Santa Cruz (UESC)";BA;Pública;0;0;84;11.33;165;1.78;97;1.55;1;8;;
121;"Universidade Metropolitana de Santos (UNIMES)";SP;Privada;0;0;86;11.05;139;2.77;147;0.28;1;8;;
