Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
46;"Instituto Federal de Educação, Ciência e Tecnologia do Amazonas (IFAM)";AM;Pública;0;0;37;14.47;27;6.47;;;1;8;0;0
47;"Universidade Norte do Paraná (UNOPAR)";PR;Privada;;;39;13.94;36;5.94;;;1;8;;
48;"Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina (IFSC)";SC;Pública;;;40;13.88;37;5.88;;;1;8;0;0
49;"Universidade Católica Dom Bosco (UCDB)";MS;Privada;;;41;13.04;62;4.41;21;3.04;42;5.59;;
50;"Faculdade do Centro Leste (UCL)";ES;Privada;;;42;12.94;53;4.94;17;3.23;56;4.77;;
51;"Centro Universitário Anhanguera de São Paulo";SP;Privada;;;43;12.71;57;4.71;;;1;8;;
52;"Instituto Federal de Educação, Ciência e Tecnologia do Ceará (IFCE)";CE;Pública;;;44;12.29;110;1.59;28;2.7;1;8;;
53;"Faculdade Pitágoras de Londrina";PR;Privada;;;47;11.47;28;6.41;;;51;5.06;;
54;"Instituto Federal de Educação, Ciência e Tecnologia Catarinense (IF Catarinense)";SC;Pública;;;48;11.35;80;3.35;;;1;8;;
55;"Faculdade de Tecnologia Senai Cimatec (SENAI CIMATEC)";BA;Privada;;;50;10.47;95;2.47;;;1;8;;
56;"Faculdade Pitágoras de Linhares";ES;Privada;;;51;10.41;96;2.41;;;1;8;;
57;"Universidade Braz Cubas (UBC)";SP;Privada;0;0;52;10.32;49;5.18;31;2.55;93;2.59;;
58;"Centro Universitário Planalto do Distrito Federal (UNIPLAN)";DF;Privada;;;53;10;61;4.47;;;43;5.53;;
58;"Centro Universitário Campos de Andrade (UNIANDRADE)";PR;Privada;;;53;10;103;2;;;1;8;;
60;"Centro Universitário Anhangüera (UNIFIAN)";SP;Privada;;;56;9.89;48;5.24;;;58;4.65;;
61;"Faculdade Pitágoras de Belo Horizonte (FPAS)";MG;Privada;;;57;9.82;82;3.24;61;1.11;44;5.47;;
62;"Centro Universitário Tupy";SC;Privada;;;58;9.8;89;2.82;10;3.57;79;3.41;0;0
63;"Centro Universitário Univates (UNIVATES)";RS;Privada;0;0;59;9.77;54;4.88;41;2.07;89;2.82;0;0
64;"Universidade Ibirapuera (UNIB)";SP;Privada;;;60;9.76;38;5.82;;;70;3.94;;
64;"Instituto de Estudos Superiores da Amazônia (IESAM)";PA;Privada;;;60;9.76;40;5.71;50;1.64;96;2.41;;
64;"Faculdade Capixaba da Serra (MULTIVIX)";ES;Privada;;;60;9.76;47;5.29;;;61;4.47;;
67;"Faculdade Boa Viagem (FBV)";PE;Privada;;;63;9.7;55;4.82;;;54;4.88;;
68;"Instituto Nacional de Telecomunicações (INATEL)";MG;Privada;;;65;9.42;66;4.18;;;48;5.24;0;0
69;"Faculdade de Ciência e Tecnologia de Montes Claros (FACIT)";MG;Privada;;;66;9.31;69;4;30;2.6;91;2.71;;
70;"Faculdades Pitágoras Unidade Guarapari (FIPAG)";ES;Privada;;;67;9.24;116;1.24;;;1;8;;
71;"Universidade de Taubaté (UNITAU)";SP;Pública;0;0;68;9.18;50;5.12;;;68;4.06;;
72;"Faculdade Pitágoras de Poços de Caldas";MG;Privada;;;69;9.12;74;3.71;;;45;5.41;;
73;"Faculdade de Ciências Sociais Aplicadas de Extrema (FAEX)";MG;Privada;;;71;9.01;71;3.88;69;0.72;62;4.41;;
74;"Universidade do Contestado (UNC)";SC;Pública;;;72;8.97;97;2.35;48;1.74;54;4.88;;
75;"Faculdade Santa Rita (FASAR)";MG;Privada;;;73;8.71;68;4.06;;;58;4.65;;
76;"Faculdade de Pindamonhangaba (FAPI)";SP;Privada;;;74;8.66;100;2.18;19;3.13;80;3.35;;
77;"Faculdade Pitágoras de Divinópolis (FPD)";MG;Privada;;;75;8.63;117;1.18;37;2.27;49;5.18;;
78;"Faculdade de Ciência e Tecnologia (ÁREA1)";BA;Privada;;;76;8.47;85;3.06;62;1.06;63;4.35;;
79;"Faculdade Metropolitana de Camaçari (FAMEC)";BA;Privada;;;77;8.43;78;3.47;64;0.96;69;4;;
80;"Faculdade Pitágoras de Ipatinga (FPI)";MG;Privada;;;78;7.98;94;2.53;76;0.39;51;5.06;;
81;"Faculdade Pitágoras de Betim (PITÁGORAS-BETIM)";MG;Privada;;;79;7.94;109;1.65;56;1.35;53;4.94;;
82;"Faculdade Nordeste (FANOR)";CE;Privada;0;0;80;7.64;72;3.82;;;72;3.82;;
83;"Universidade Anhanguera de São Paulo (UNIAN)";SP;Privada;;;81;7.49;102;2.06;53;1.49;70;3.94;;
84;"Centro Universitário de Lins (UNILINS)";SP;Privada;;;82;7.48;58;4.65;51;1.59;116;1.24;0;0
85;"Faculdade Eniac (ENIAC)";SP;Privada;;;83;7.36;60;4.53;74;0.48;97;2.35;;
86;"Faculdade de Jaguariúna (FAJ)";SP;Privada;0;0;84;7.33;76;3.59;26;2.8;121;0.94;;
87;"Faculdade Politec (FAP)";SP;Privada;;;85;7.31;93;2.59;58;1.25;78;3.47;;
88;"Faculdades Integradas São Pedro (FAESA)";ES;Privada;;;86;7.24;75;3.65;;;76;3.59;;
89;"Faculdade Pitágoras de Votorantim - Sorocaba";SP;Privada;;;87;7.15;130;0.41;54;1.45;47;5.29;;
90;"Universidade Santa Cecília (UNISANTA)";SP;Privada;;;89;6.7;79;3.41;;;81;3.29;;
91;"Centro Universitário Anhanguera de Niterói (UNIAN)";RJ;Privada;;;90;6.42;108;1.71;;;57;4.71;;
92;"Centro Universitário de Araraquara (UNIARA)";SP;Privada;;;91;6.41;45;5.41;78;0.29;125;0.71;;
93;"Faculdade Anhanguera Jaraguá do Sul (FATEJA)";SC;Privada;;;92;6.36;91;2.71;;;75;3.65;;
94;"Centro Universitário Fieo (UNIFIEO)";SP;Privada;;;93;6.3;34;6.06;;;133;0.24;;
95;"Universidade Metodista de Piracicaba (UNIMEP)";SP;Privada;0;0;94;6.1;56;4.77;59;1.21;135;0.12;0;0
96;"Faculdade Pitágoras de São Luiz";MA;Privada;;;95;6;122;0.88;;;50;5.12;;
96;"Pontifícia Universidade Católica de Goiás (PUC GOIÁS)";GO;Privada;0;0;95;6;86;3;34;2.41;127;0.59;;
98;"Faculdade Presidente Antônio Carlos de Conselheiro Lafaiete";MG;Privada;;;97;5.93;99;2.24;49;1.69;103;2;;
99;"Faculdade Politécnica de Campinas (POLICAMP)";SP;Privada;;;98;5.8;118;1.12;81;0.15;60;4.53;;
100;"Centro Universitário Anhanguera de Campo Grande";MS;Privada;;;99;5.64;125;0.71;55;1.4;77;3.53;;
101;"Universidade Alto Vale do Rio do Peixe (UNIARP)";SC;Pública;;;100;5.6;123;0.82;63;1.01;73;3.77;;
102;"Faculdade Anhangüera de Ribeirão Preto";SP;Privada;0;0;101;5.48;112;1.47;68;0.77;82;3.24;;
103;"Faculdade de Tecnologia São Francisco (FATESF)";SP;Privada;;;102;5.45;70;3.94;60;1.16;131;0.35;;
104;"Faculdade Anhanguera de Joinville";SC;Privada;;;104;5.3;119;1.06;;;65;4.24;;
105;"Faculdade Sociesc De Curitiba (SOCIESC)";PR;Privada;;;105;5.24;67;4.12;;;118;1.12;0;0
106;"Universidade Estácio de Sá (UNESA)";RJ;Privada;0;0;106;5.06;90;2.77;;;98;2.29;;
107;"Centro Universitário Ritter dos Reis (UNIRITTER)";RS;Privada;;;107;5.06;52;5;;;136;0.06;;
108;"Faculdade Estácio de Sá de Ourinhos (FAESO)";SP;Privada;;;108;4.82;77;3.53;;;115;1.29;;
