Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
47;"Universidade José do Rosário Vellano (UNIFENAS)";MG;Privada;0;0;33;34.37;159;1.77;79;2.1;140;2.5;13;28
48;"Universidade Veiga de Almeida (UVA)";RJ;Privada;23;21.06;84;10.54;84;4.73;52;2.76;126;3.05;;
49;"Universidade Cruzeiro do Sul (UNICSUL)";SP;Privada;23;21.06;91;10.21;7;7.76;125;0.98;166;1.47;;
50;"Universidade Católica de Brasília (UCB)";DF;Privada;23;21.06;113;9.08;154;1.97;59;2.59;89;4.52;;
51;"Universidade de Cuiabá (UNIC / PITÁGORAS)";MT;Privada;23;21.06;117;8.95;161;1.7;92;1.78;65;5.47;;
52;"Universidade de Itaúna (UI)";MG;Privada;23;21.06;142;7.04;102;4.02;116;1.2;157;1.82;;
53;"Faculdades Integradas da União Educacional do Planalto Central (FACIPLAC)";DF;Privada;23;21.06;153;6.46;147;2.25;106;1.44;133;2.77;;
54;"Universidade de Santo Amaro (UNISA)";SP;Privada;23;21.06;161;5.48;111;3.67;133;0.78;177;1.03;0;0
55;"Faculdade do Amazonas (IAES)";AM;Privada;23;21.06;177;4.26;190;0.55;143;0.54;123;3.17;;
56;"Faculdades Integradas São Pedro (FAESA)";ES;Privada;23;21.06;178;4.21;146;2.29;130;0.85;176;1.07;;
57;"Universidade Guarulhos (UNG)";SP;Privada;23;21.06;190;2.96;153;2.01;152;0.32;187;0.63;;
58;"Universidade Vale do Rio Doce (UNIVALE)";MG;Privada;23;21.06;201;1.44;193;0.43;151;0.34;186;0.67;;
59;"Universidade Federal da Paraíba (UFPB)";PB;Pública;0;0;34;18.92;26;7.02;5;3.9;1;8;0;0
60;"Universidade Estadual de Ponta Grossa (UEPG)";PR;Pública;0;0;37;18.62;23;7.13;22;3.49;1;8;0;0
61;"Universidade Federal de Sergipe (UFS)";SE;Pública;0;0;43;17.94;31;6.82;37;3.12;1;8;0;0
62;"Universidade Positivo (UP)";PR;Privada;0;0;44;17.46;32;6.78;55;2.68;1;8;;
63;"Universidade Federal do Maranhão (UFMA)";MA;Pública;0;0;45;17.36;50;6.07;30;3.29;1;8;;
64;"Universidade Federal de Alagoas (UFAL)";AL;Pública;0;0;46;17.18;51;6.03;36;3.15;1;8;;
65;"Universidade Federal do Pará (UFPA)";PA;Pública;0;0;47;17.09;44;6.31;51;2.78;1;8;0;0
66;"Universidade Estadual do Oeste do Paraná (UNIOESTE)";PR;Pública;0;0;48;16.95;63;5.56;26;3.39;1;8;0;0
67;"Universidade Federal de Campina Grande (UFCG)";PB;Pública;;;49;16.81;59;5.71;38;3.1;1;8;;
68;"Universidade Estadual do Sudoeste da Bahia (UESB)";BA;Pública;0;0;51;15.45;116;3.47;2;3.98;1;8;;
69;"Universidade Estadual da Paraíba (UEPB)";PB;Pública;0;0;52;15.43;96;4.26;35;3.17;1;8;;
70;"Escola Bahiana de Medicina e Saúde Pública (EBMSP)";BA;Privada;0;0;53;14.49;87;4.61;88;1.88;1;8;;
71;"Universidade do Estado do Rio Grande do Norte (UERN)";RN;Pública;;;54;14.33;143;2.4;4;3.93;1;8;0;0
72;"Universidade Estadual do Piauí (UESPI)";PI;Pública;0;0;56;14.12;133;2.8;29;3.32;1;8;;
