Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
125;"Faculdade Anhanguera de São Caetano (Fasc)";SP;Privada;;;121;6.74;134;2.02;69;1.97;108;2.75;;
126;"Faculdades Integradas de Taquara (FACCAT)";RS;Privada;;;122;6.64;57;5.48;124;0.33;147;0.83;;
127;"Faculdade de Belém (FABEL)";PA;Privada;;;123;6.61;139;1.8;;;66;4.81;;
128;"Faculdade Nordeste (FANOR)";CE;Privada;0;0;124;6.57;156;1.03;2;3.97;132;1.57;0;0
129;"Faculdade Anhanguera de Cuiabá (FAC)";MT;Privada;;;125;6.51;148;1.39;72;1.88;98;3.24;;
130;"Faculdade Santa Helena (FSH)";PE;Privada;;;126;6.45;117;2.79;108;0.81;106;2.85;;
131;"Centro Universitário Facex (UNIFACEX)";RN;Privada;0;0;127;6.29;121;2.61;35;2.99;150;0.69;;
132;"Centro Universitário Maurício de Nassau (UNINASSAU)";PE;Privada;0;0;129;6.13;111;3.06;75;1.79;138;1.28;0;0
133;"Faculdade Maurício de Nassau de Salvador (FMN SALVADOR)";BA;Privada;;;130;6.04;75;4.67;89;1.37;;;;
134;"Faculdade Machado de Assis (FAMA)";RJ;Privada;;;131;5.97;145;1.53;52;2.48;124;1.96;;
135;"Faculdade Frassinetti do Recife (FAFIRE)";PE;Privada;0;0;133;5.94;94;3.82;82;1.58;153;0.54;;
135;"Faculdade Zacarias de Góes (FAZAG)";BA;Privada;;;133;5.94;155;1.08;;;65;4.86;;
137;"Faculdade Pan Amazônia (FAPAN)";PA;Privada;;;135;5.83;129;2.25;;;91;3.58;;
138;"Universidade Fumec (FUMEC)";MG;Privada;0;0;136;5.78;65;5.12;113;0.66;;;;
139;"Faculdade Estácio de Sá de Vitória (FESV)";ES;Privada;0;0;137;5.67;165;0.63;68;2;102;3.04;;
140;"Faculdade do Guarujá (FAGU)";SP;Privada;;;138;5.55;159;0.9;63;2.15;113;2.5;;
141;"Centro Universitário Barão de Mauá (CBM)";SP;Privada;0;0;139;5.42;104;3.37;101;1.02;143;1.03;;
142;"Faculdade Estácio de Sergipe (FASE)";SE;Privada;0;0;140;5.42;132;2.11;131;0.12;99;3.19;;
143;"Instituto de Ensino Superior de Fortaleza (IESF)";CE;Privada;;;141;5.4;160;0.85;55;2.39;120;2.16;;
144;"Instituto Esperança de Ensino Superior (IESPES)";PA;Privada;;;142;5.39;168;0.49;132;0.09;66;4.81;;
145;"Centro Universitário Cesmac (CESMAC)";AL;Privada;0;0;143;5.33;144;1.57;70;1.94;127;1.82;;
146;"Faculdade do Maranhão (FACAM-MA)";MA;Privada;;;144;5.29;130;2.2;;;101;3.09;;
147;"Faculdade de Jaguariúna (FAJ)";SP;Privada;0;0;145;5.2;167;0.54;15;3.58;142;1.08;;
148;"Centro Universitário Católico Salesiano Auxilium (UNISALESIANO)";SP;Privada;;;146;5.12;65;5.12;;;;;;
148;"Faculdade Joaquim Nabuco - Paulista (FJN)";PE;Privada;;;146;5.12;65;5.12;;;;;;
148;"Faculdade Estácio de Alagoas (FAL)";AL;Privada;0;0;146;5.12;65;5.12;;;;;;
148;"Faculdade Estácio Cotia (FAAC)";SP;Privada;0;0;146;5.12;65;5.12;;;;;;
152;"Faculdade das Atividades Empresariais de Teresina (FAETE)";PI;Privada;;;151;4.9;176;0.14;127;0.24;72;4.52;;
152;"Centro Universitário Augusto Motta (UNISUAM)";RJ;Privada;;;151;4.9;103;3.42;125;0.3;140;1.18;;
154;"Faculdade Paulista São José (FACDOTT)";SP;Privada;;;153;4.79;175;0.18;;;70;4.61;;
155;"Faculdade Estácio de Sá de Juiz de Fora (FESJF)";MG;Privada;;;154;4.65;102;3.46;95;1.19;;;;
156;"Faculdade Associada Brasil (FAB)";SP;Privada;;;155;4.62;169;0.45;;;79;4.17;;
157;"Centro Universitário Hermínio da Silveira (UNI IBMR)";RJ;Privada;;;156;4.56;105;3.33;;;139;1.23;;
158;"Faculdade do Vale do Jaguaribe (FVJ)";CE;Privada;;;157;4.49;150;1.3;104;0.93;118;2.26;;
159;"Centro Universitário Nossa Senhora do Patrocínio (CEUNSP)";SP;Privada;;;158;4.2;170;0.4;29;3.16;151;0.64;0;0
160;"Faculdades Integradas da Upis (UPIS)";DF;Privada;;;159;4.07;141;1.71;107;0.84;133;1.52;0;0
161;"Universidade Guarulhos (UNG)";SP;Privada;0;0;160;3.93;157;0.99;48;2.6;157;0.34;;
162;"Faculdades Integradas de Jacarepaguá (FIJ)";RJ;Privada;;;161;3.92;113;2.97;118;0.51;155;0.44;;
163;"Faculdade de Filosofia, Ciências e Letras de Ibitinga (FAIBI)";SP;Pública;;;162;3.88;153;1.17;54;2.42;158;0.29;;
164;"Faculdade Estácio do Rio Grande do Sul (FARGS)";RS;Privada;;;163;3.73;131;2.16;109;0.78;148;0.79;;
165;"Faculdade Boa Viagem (FBV)";PE;Privada;0;0;164;3.56;161;0.81;;;108;2.75;;
166;"Instituto Cuiabá de Ensino e Cultura (ICEC)";MT;Privada;0;0;165;3.51;172;0.32;28;3.19;;;;
167;"Faculdade Diadema (FAD)";SP;Privada;;;166;3.49;143;1.62;;;126;1.87;;
168;"Faculdade Maurício de Nassau de Maceió";AL;Privada;;;167;3.33;166;0.58;;;108;2.75;;
169;"Faculdade Visconde de Cairú (FAVIC)";BA;Privada;0;0;168;3.11;171;0.36;;;108;2.75;;
170;"Faculdade Metropolitana da Grande Recife (UNESJ)";PE;Privada;;;169;3.06;123;2.52;130;0.15;156;0.39;0;0
171;"Faculdade Latino Americana de Educação (FLATED)";CE;Privada;;;170;3.01;112;3.01;;;;;;
172;"Instituto de Ensino Superior Miguel de Cervantes (IESMC)";MA;Privada;;;171;2.94;118;2.74;;;160;0.2;;
173;"Instituto de Ensino Superior da Funlec (IESF)";MS;Privada;;;172;2.75;119;2.7;;;163;0.05;;
174;"Faculdade de Ciências Humanas de Olinda (FACHO)";PE;Privada;;;173;2.52;136;1.93;;;152;0.59;;
175;"Faculdade de Presidente Epitácio (FAPE)";SP;Privada;;;174;2.44;163;0.72;;;129;1.72;;
176;"Universidade de Sorocaba (UNISO)";SP;Privada;0;0;175;1.69;147;1.44;;;159;0.25;;
177;"Faculdade Piauiense (FAP)";PI;Privada;;;176;1.35;149;1.35;;;;;;
178;"Faculdade Afirmativo (FAFI)";MT;Privada;;;177;0.48;173;0.27;128;0.21;;;;
179;"Faculdade de Ensino Regional Alternativa (FERA)";AL;Privada;;;178;0.09;177;0.09;;;;;;
180;"Centro Universitário do Triângulo (UNITRI)";MG;Privada;0;0;179;0.05;178;0.05;;;;;;
