Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
191;"Faculdade Sudoeste Paulista (FSP)";SP;Privada;;;78;14.03;63;6.84;87;2.87;196;4.32;;
192;"Faculdades Unificadas de Teófilo Otoni (FUTO)";MG;Privada;0;0;79;13.98;243;3.46;113;2.52;1;8;;
193;"Faculdade de Getúlio Vargas (FACULDADE IDEAU)";RS;Privada;;;82;13.86;115;5.86;;;1;8;;
194;"Universidade de Taubaté (UNITAU)";SP;Pública;0;0;86;13.67;107;6.01;148;2.06;128;5.6;0;0
195;"Faculdade Boa Viagem (FBV)";PE;Privada;;;87;13.63;99;6.16;188;1.53;110;5.94;;
196;"Faculdade Luciano Feijão (FLF)";CE;Privada;;;89;13.52;133;5.52;;;1;8;;
197;"Faculdade Nobre de Feira de Santana (FAN)";BA;Privada;0;0;90;13.51;58;6.93;276;0.37;96;6.21;;
198;"Faculdades Integradas Iesgo (IESGO)";GO;Privada;;;91;13.33;55;6.99;;;89;6.34;;
199;"Faculdades Integradas da Vitória de Santo Antão (FAINTVISA)";PE;Privada;;;92;13.32;175;4.73;259;0.59;1;8;;
200;"Faculdade Evolução Alto Oeste Potiguar (FACEP)";RN;Privada;;;95;13.09;156;5.09;;;1;8;;
201;"Universidade Estadual do Sudoeste da Bahia (UESB)";BA;Pública;0;0;98;13.01;160;5.01;;;1;8;;
202;"Faculdade de Ciências Humanas e Sociais (FACULDADE AGES)";BA;Privada;;;101;12.88;167;4.88;;;1;8;;
203;"Centro Universitário de Mineiros (UNIFIMES)";GO;Pública;;;103;12.81;171;4.81;;;1;8;;
204;"Fundação Universidade Federal da Grande Dourados (UFGD)";MS;Pública;;;106;12.58;98;6.18;;;86;6.4;;
205;"Faculdade de Pato Branco (FADEP)";PR;Privada;0;0;107;12.44;279;2.78;178;1.66;1;8;;
206;"Faculdade Avantis (AVANTIS)";SC;Privada;0;0;114;12;120;5.77;;;95;6.23;;
207;"Faculdade Pitágoras de Linhares";ES;Privada;0;0;118;11.91;254;3.25;107;2.6;104;6.06;;
208;"Centro Universitário de Votuporanga (UNIFEV)";SP;Privada;0;0;120;11.85;126;5.65;73;3.05;258;3.15;;
209;"Escola Superior Batista do Amazonas (ESBAM)";AM;Privada;0;0;122;11.81;110;5.95;289;0.2;125;5.66;;
210;"Centro Universitário da Grande Dourados (UNIGRAN)";MS;Privada;;;124;11.79;172;4.79;170;1.77;148;5.23;;
211;"Faculdade Regional da Bahia (FARB)";BA;Privada;;;126;11.7;82;6.48;296;0.11;154;5.11;;
212;"Faculdade Barão do Rio Branco (FAB)";AC;Privada;;;127;11.69;61;6.87;235;0.91;218;3.91;;
213;"Faculdade Ceres (FACERES)";SP;Privada;;;129;11.66;272;2.91;247;0.75;1;8;;
214;"Centro Universitário do Leste de Minas Gerais (UNILESTEMG)";MG;Privada;0;0;130;11.64;141;5.37;198;1.4;167;4.87;;
215;"Instituto Superior de Educação do Vale do Juruena (AJES)";MT;Privada;;;132;11.56;145;5.3;;;93;6.26;;
216;"Universidade Católica de Petrópolis (UCP)";RJ;Privada;0;0;135;11.35;114;5.88;40;3.49;320;1.98;;
217;"Centro Universitário Unifafibe (FAFIBE)";SP;Privada;;;136;11.35;173;4.77;33;3.58;266;3;;
218;"Faculdade Campo Real (CAMPO REAL)";PR;Privada;175;0.61;148;10.73;199;4.28;96;2.75;229;3.7;;
219;"Centro Universitário de Barra Mansa (UBM)";RJ;Privada;0;0;137;11.3;116;5.84;55;3.29;310;2.17;;
220;"Centro Universitário Barão de Mauá (CBM)";SP;Privada;;;141;10.9;72;6.67;;;201;4.23;;
221;"Faculdade Metropolitana de Blumenau (FAMEBLU)";SC;Privada;;;142;10.88;288;2.61;72;3.06;149;5.21;;
222;"Centro Universitário Uniseb (UNISEB)";SP;Privada;;;143;10.85;60;6.89;;;215;3.96;;
223;"Faculdade Pitágoras de Ipatinga (FPI)";MG;Privada;0;0;144;10.82;319;2.03;128;2.32;82;6.47;;
223;"Faculdade de Ciências Sociais de Florianópolis (FCSF)";SC;Privada;;;144;10.82;106;6.03;44;3.43;353;1.36;;
225;"Centro Universitário Católico Salesiano Auxilium (UNISALESIANO)";SP;Privada;0;0;146;10.79;152;5.16;61;3.21;297;2.42;;
226;"Faculdade de Tecnologia e Ciências de Jequié (FTC)";BA;Privada;;;147;10.78;367;1.13;179;1.65;1;8;;
227;"União das Faculdades dos Grandes Lagos (UNILAGO)";SP;Privada;0;0;151;10.55;180;4.64;;;112;5.91;;
228;"Centro Universitário das Faculdades Associadas de Ensino (UNIFAE)";SP;Pública;0;0;155;10.45;94;6.25;126;2.35;327;1.85;;
229;"Escola Superior Da Amazônia (ESAMAZ)";PA;Privada;;;156;10.4;299;2.4;;;1;8;;
230;"Universidade de Rio Verde (FESURV)";GO;Pública;0;0;157;10.39;303;2.33;177;1.68;87;6.38;;
231;"Centro Universitário de Rio Preto (UNIRP)";SP;Privada;0;0;161;10.32;130;5.58;;;174;4.74;;
232;"Faculdade Católica Salesiana do Espírito Santo";ES;Privada;0;0;162;10.28;134;5.5;52;3.33;348;1.45;;
233;"Faculdade Doctum de Saúde da Serra (DOCTUM)";ES;Privada;;;166;10.22;309;2.22;;;1;8;;
234;"Faculdade Pitágoras de Jundiaí (PIT JUNDIAÍ)";SP;Privada;;;168;10.2;310;2.2;;;1;8;;
235;"Faculdades Integradas do Brasil (FACBRASIL)";PR;Privada;;;169;10.09;261;3.12;122;2.4;183;4.57;;
236;"Faculdade do Sul (FACSUL)";BA;Privada;;;171;10.08;376;0.96;29;3.63;134;5.49;;
237;"Faculdade de Estudos Administrativos de Minas Gerais (FEAD - MG)";MG;Privada;0;0;173;10.04;146;5.28;98;2.72;317;2.04;;
238;"Centro Universitário Herminio Ometto (UNIARARAS)";SP;Privada;0;0;174;10.02;75;6.61;115;2.5;377;0.91;;
239;"Faculdade Pernambucana de Saúde (FPS)";PE;Privada;;;175;10;181;4.62;;;140;5.38;0;0
240;"Faculdades Atibaia (FAAT)";SP;Privada;;;176;9.98;148;5.24;21;3.74;372;1;;
241;"Centro Universitário do Distrito Federal (UDF)";DF;Privada;0;0;177;9.91;92;6.29;;;233;3.62;;
242;"Instituto de Ensino Superior de Londrina (INESUL)";PR;Privada;;;178;9.9;326;1.9;;;1;8;;
243;"Faculdades Integradas de Taquara (FACCAT)";RS;Privada;0;0;180;9.83;140;5.39;25;3.68;385;0.76;0;0
244;"Faculdade Pitágoras de Belo Horizonte (FPAS)";MG;Privada;;;181;9.79;312;2.16;152;2.01;127;5.62;;
245;"Faculdade Pitágoras de Londrina";PR;Privada;0;0;182;9.75;316;2.09;184;1.58;103;6.08;;
246;"Faculdade Capixaba de Nova Venécia (MULTIVIX)";ES;Privada;;;183;9.73;233;3.64;;;102;6.09;;
246;"Faculdade Maurício de Nassau de João Pessoa (FMN JOÃO PESSOA)";PB;Privada;0;0;183;9.73;131;5.56;;;204;4.17;;
248;"Faculdades Integradas do Norte de Minas (FUNORTE)";MG;Privada;0;0;187;9.68;391;0.68;228;1;1;8;;
249;"Faculdade de Tecnologia e Ciências de Itabuna (FTC)";BA;Privada;;;188;9.67;368;1.11;102;2.67;113;5.89;;
250;"Centro Universitário de Lavras (UNILAVRAS)";MG;Privada;0;0;189;9.64;196;4.34;186;1.56;227;3.74;;
250;"Centro Universitário de Itajubá (FEPI)";MG;Privada;;;189;9.64;186;4.53;130;2.3;276;2.81;;
252;"Instituto Luterano de Ensino Superior de Porto Velho (ULBRA ILES)";RO;Privada;;;191;9.62;378;0.92;251;0.7;1;8;;
253;"Instituto Luterano de Ensino Superior de Itumbiara (ILES)";GO;Privada;;;192;9.61;397;0.56;50;3.35;123;5.7;;
254;"Faculdade União das Américas";PR;Privada;0;0;193;9.6;343;1.58;14;3.83;203;4.19;;
255;"Centro de Ensino Superior de Ilhéus (CESUPI)";BA;Privada;;;194;9.56;108;5.99;;;236;3.57;;
256;"Faculdade de Ciências Agrárias e da Saúde (FAS)";BA;Privada;;;195;9.53;247;3.38;;;99;6.15;;
257;"Faculdade Metropolitana de Guaramirim (FAMEG)";SC;Privada;;;196;9.48;345;1.54;78;2.98;162;4.96;;
258;"Faculdade Regional de Alagoinhas (FARAL)";BA;Privada;;;197;9.44;203;4.21;293;0.15;156;5.08;;
259;"Faculdade de Tecnologia e Ciências de Feira de Santana (FTC)";BA;Privada;0;0;198;9.36;394;0.62;248;0.74;1;8;;
260;"Universidade Vale do Rio Doce (UNIVALE)";MG;Privada;175;0.61;223;8.69;335;1.73;154;1.98;161;4.98;;
260;"Faculdade de Guanambi";BA;Privada;0;0;201;9.3;358;1.3;;;1;8;;
260;"Faculdade Social da Bahia (FSBA)";BA;Privada;0;0;201;9.3;230;3.7;157;1.94;231;3.66;;
263;"Faculdade de Saúde Ibituruna (FASI)";MG;Privada;;;203;9.25;350;1.45;200;1.37;84;6.43;;
264;"Instituto de Ensino Superior de Foz do Iguaçu (IESFI)";PR;Privada;;;204;9.22;411;0.3;99;2.71;96;6.21;;
265;"Faculdades Integradas de Santa Fé do Sul (FUNEC)";SP;Pública;;;205;9.15;355;1.35;168;1.8;107;6;;
266;"Faculdade Anglo-Americano (FAA)";PR;Privada;0;0;207;9.12;271;2.93;159;1.91;198;4.28;;
267;"Faculdade Estácio de Alagoas (FAL)";AL;Privada;;;208;9.09;369;1.09;;;1;8;;
268;"Faculdade Castro Alves (FCA)";BA;Privada;;;209;9.06;258;3.17;258;0.61;145;5.28;;
269;"Faculdade Pitágoras de Poços de Caldas";MG;Privada;;;210;9.01;292;2.54;;;82;6.47;;
270;"Faculdade de Quatro Marcos (FQM)";MT;Privada;;;211;8.96;417;0.19;246;0.77;1;8;;
271;"Universidade do Contestado (UNC)";SC;Pública;0;0;217;8.82;342;1.6;94;2.77;189;4.45;;
271;"Faculdade Pitágoras de Divinópolis (FPD)";MG;Privada;;;217;8.82;267;3.01;;;117;5.81;;
273;"Faculdade Pitágoras de Betim (PITÁGORAS-BETIM)";MG;Privada;0;0;219;8.76;338;1.67;237;0.88;96;6.21;;
274;"Faculdade Seama (SEAMA)";AP;Privada;;;221;8.71;323;1.95;145;2.1;178;4.66;;
275;"Universidade Anhanguera de São Paulo (UNIAN)";SP;Privada;0;0;225;8.66;260;3.14;234;0.92;181;4.6;;
276;"Centro Universitário Capital (UNICAPITAL)";SP;Privada;;;226;8.65;168;4.86;;;224;3.79;;
277;"Faculdade de Desenvolvimento do Rio Grande do Sul (FADERGS)";RS;Privada;;;227;8.64;122;5.73;;;271;2.91;;
278;"Faculdade Cathedral (FACES)";RR;Privada;0;0;228;8.63;178;4.68;271;0.44;239;3.51;;
279;"Faculdades Integradas de Ourinhos (FIO)";SP;Privada;;;229;8.6;194;4.38;181;1.62;287;2.6;;
280;"Centro Universitário Anhangüera (UNIFIAN)";SP;Privada;;;230;8.59;380;0.88;142;2.14;130;5.57;;
281;"Centro Universitário Padre Anchieta (UNIANCHIETA)";SP;Privada;0;0;231;8.55;159;5.03;70;3.09;402;0.43;;
282;"Centro Universitário Metodista (IPA)";RS;Privada;0;0;232;8.54;57;6.95;279;0.33;358;1.26;;
283;"Faculdade Una de Contagem (FUNAC)";MG;Privada;;;233;8.53;187;4.51;;;212;4.02;;
283;"Faculdade de Ensino Superior de Catalão (FACULDADE CESUC)";GO;Privada;;;233;8.53;239;3.53;;;160;5;;
285;"Centro Universitário Unirg (UNIRG)";TO;Pública;0;0;239;8.38;413;0.26;295;0.12;1;8;;
286;"Universidade de Santo Amaro (UNISA)";SP;Privada;0;0;240;8.38;189;4.47;268;0.48;243;3.43;;
286;"Faculdade São Francisco de Assis (UNIFIN)";RS;Privada;;;240;8.38;76;6.59;;;330;1.79;;
288;"Centro Universitário Paulistano (UNIPAULISTANA)";SP;Privada;0;0;243;8.37;281;2.74;62;3.2;296;2.43;;
289;"Universidade Alto Vale do Rio do Peixe (UNIARP)";SC;Pública;;;244;8.33;388;0.73;147;2.07;132;5.53;0;0
290;"Faculdade de Tecnologia e Ciências de Vitória da Conquista (FTC)";BA;Privada;0;0;245;8.32;374;1;183;1.6;122;5.72;;
291;"Centro Universitário de Caratinga (UNEC)";MG;Privada;;;246;8.31;228;3.74;42;3.46;366;1.11;;
292;"Faculdade São Bento da Bahia";BA;Privada;;;247;8.3;195;4.36;;;216;3.94;;
292;"Faculdade Sul Fluminense (FASF)";RJ;Privada;;;247;8.3;204;4.19;;;207;4.11;;
294;"Faculdade Estácio de Sá de Juiz de Fora (FESJF)";MG;Privada;0;0;249;8.29;150;5.2;;;261;3.09;;
295;"Faculdade Evangélica do Paraná (FEPAR)";PR;Privada;175;0.61;280;7.67;211;4.06;56;3.27;407;0.34;;
296;"Faculdade Estácio de Sá de Goiás (FESGO)";GO;Privada;0;0;250;8.27;266;3.02;;;147;5.25;;
297;"Faculdades Integradas de Patos (FIP)";PB;Privada;0;0;251;8.25;127;5.63;;;286;2.62;;
298;"Faculdade Unigran Capital (UNIGRAN CAPITAL)";MS;Privada;;;253;8.19;129;5.6;;;288;2.59;;
