Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
61;"Universidade Federal do Rio Grande do Norte (UFRN)";RN;Pública;0;0;50;14.81;32;6.81;;;1;8;;
62;"Universidade Anhanguera (UNIDERP)";MS;Privada;;;51;14.79;83;4.86;77;1.93;1;8;;
63;"Faculdade de Ciências Humanas e Sociais (FACULDADE AGES)";BA;Privada;;;52;14.66;36;6.66;;;1;8;;
64;"Universidade Federal do Piauí (UFPI)";PI;Pública;0;0;53;14.56;79;5.01;91;1.55;1;8;;
65;"Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro";MG;Pública;;;55;14.37;52;6.05;9;3.78;91;4.54;;
66;"Universidade Estadual do Norte do Paraná (UENP)";PR;Pública;;;56;14.34;80;4.98;98;1.36;1;8;;
67;"Faculdade de Getúlio Vargas (FACULDADE IDEAU)";RS;Privada;;;57;14.2;124;3.29;41;2.91;1;8;;
68;"Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso (IFMT)";MT;Pública;;;59;14.07;139;2.72;25;3.35;1;8;;
69;"Instituto Federal de Educação, Ciência e Tecnologia do Paraná (IFPR)";PR;Pública;;;60;14.04;132;2.99;36;3.05;1;8;;
70;"Universidade Estadual do Centro Oeste (UNICENTRO)";PR;Pública;;;61;13.98;39;6.55;22;3.43;105;4;0;0
71;"Instituto Federal de Educação, Ciência e Tecnologia do Norte de Minas Gerais (IFNMG)";MG;Pública;;;64;13.78;150;2.3;20;3.48;1;8;;
72;"Universidade do Estado da Bahia (UNEB)";BA;Pública;0;0;65;13.77;94;4.44;99;1.33;1;8;;
73;"Universidade Federal Rural da Amazônia (UFRA)";PA;Pública;;;66;13.74;68;5.44;137;0.3;1;8;0;0
74;"União das Faculdades dos Grandes Lagos (UNILAGO)";SP;Privada;;;67;13.55;65;5.55;;;1;8;;
75;"Universidade Federal do Amazonas (UFAM)";AM;Pública;;;68;13.53;89;4.63;115;0.9;1;8;;
76;"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo (IFES)";ES;Pública;0;0;69;13.28;72;5.28;;;1;8;;
77;"Faculdade Espírito Santense (UNICAPE)";ES;Privada;;;70;13.24;90;4.59;124;0.65;1;8;;
78;"Universidade José do Rosário Vellano (UNIFENAS)";MG;Privada;0;0;72;13.15;46;6.28;31;3.18;113;3.69;;
79;"Universidade Federal do Maranhão (UFMA)";MA;Pública;0;0;73;13.05;105;4.02;110;1.03;1;8;;
80;"Faculdade Dom Luis de Orleans e Bragança (FARRP)";BA;Privada;;;74;12.94;81;4.94;;;1;8;;
81;"Universidade Estadual de Feira de Santana (UEFS)";BA;Pública;;;75;12.79;85;4.79;;;1;8;;
