Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
52;"Centro Universitário Franciscano (UNIFRA)";RS;Privada;0;0;29;15.58;60;5.83;19;3.52;49;6.23;0;0
53;"Faculdade Nobre de Feira de Santana (FAN)";BA;Privada;;;30;15.24;35;6.75;76;2;42;6.49;;
54;"Universidade Federal de Mato Grosso (UFMT)";MT;Pública;0;0;31;15.12;43;6.45;126;0.67;1;8;;
55;"Faculdades Integradas da Vitória de Santo Antão (FAINTVISA)";PE;Privada;;;32;14.89;31;6.89;;;1;8;;
56;"Faculdade São Lucas (FSL)";RO;Privada;0;0;33;14.81;78;5.16;89;1.65;1;8;;
57;"Centro Universitário Facvest (FACVEST)";SC;Privada;;;34;14.71;36;6.71;;;1;8;;
58;"Faculdades Integradas de Bauru (FIB)";SP;Privada;;;35;14.63;59;5.86;122;0.77;1;8;;
59;"Instituto Superior de Teologia Aplicada (INTA)";CE;Privada;0;0;37;14.3;47;6.3;;;1;8;;
60;"Centro Universitário de Maringá (UNICESUMAR)";PR;Privada;;;38;14.06;70;5.46;8;3.81;88;4.79;;
61;"Faculdade Pitágoras de Belo Horizonte (FPAS)";MG;Privada;;;39;13.9;58;5.9;;;1;8;;
62;"Universidade Cidade de São Paulo (UNICID)";SP;Privada;0;0;42;13.58;41;6.53;112;1.04;55;6.01;0;0
63;"Universidade do Vale do Paraíba (UNIVAP)";SP;Privada;0;0;43;13.55;15;7.48;48;2.75;128;3.32;;
64;"Centro Universitário Luterano de Palmas (CEULP)";TO;Privada;;;44;13.52;119;3.65;81;1.87;1;8;;
65;"Centro Universitário Herminio Ometto (UNIARARAS)";SP;Privada;0;0;45;13.37;45;6.38;16;3.6;126;3.39;;
66;"Faculdade Metropolitana de Blumenau (FAMEBLU)";SC;Privada;;;46;13.29;93;4.61;15;3.63;81;5.05;;
67;"União das Faculdades dos Grandes Lagos (UNILAGO)";SP;Privada;;;47;13.17;34;6.78;130;0.56;60;5.83;;
68;"Universidade do Oeste Paulista (UNOESTE)";SP;Privada;0;0;48;13.12;27;7.04;;;53;6.08;0;0
69;"Faculdade Integrada Metropolitana de Campinas (METROCAMP)";SP;Privada;0;0;49;13.1;26;7.08;87;1.71;101;4.31;;
70;"Centro Universitário Univates (UNIVATES)";RS;Privada;;;50;13.09;71;5.42;28;3.28;99;4.39;;
70;"Faculdades Integradas Padre Albino (FIPA)";SP;Privada;;;50;13.09;38;6.64;;;43;6.45;;
72;"Universidade do Grande Rio Professor José de Souza Herdy (UNIGRANRIO)";RJ;Privada;;;52;13.05;81;5.05;;;1;8;;
73;"Universidade do Vale do Rio dos Sinos (UNISINOS)";RS;Privada;0;0;53;12.98;19;7.34;;;65;5.64;0;0
74;"Faculdade Regional da Bahia (FARB)";BA;Privada;;;54;12.85;57;5.94;95;1.49;71;5.42;;
75;"Centro Universitário de Votuporanga (UNIFEV)";SP;Privada;0;0;56;12.53;52;6.12;71;2.13;102;4.28;0;0
76;"Faculdade Metropolitana da Amazônia (FAMAZ)";PA;Privada;;;59;12.35;100;4.35;;;1;8;0;0
77;"Faculdade de Ciências Econômicas e Administrativas Santa Rita de Cássia (FACEAS)";SP;Privada;;;62;12.06;108;4.06;;;1;8;;
78;"Centro Universitário Geraldo Di Biase (UGB)";RJ;Privada;;;63;12.05;33;6.82;147;0.11;79;5.12;;
79;"Centro Universitário Christus (UNICHRISTUS)";CE;Privada;0;0;64;12.02;109;4.02;;;1;8;;
80;"Faculdade Maria Milza (FAMAM)";BA;Privada;;;65;11.85;146;2.65;106;1.2;1;8;;
81;"Faculdade Barão do Rio Branco (FAB)";AC;Privada;;;67;11.57;37;6.67;;;85;4.9;;
82;"Centro Universitário de Brasília (UNICEUB)";DF;Privada;0;0;68;11.53;65;5.64;35;3.09;142;2.8;;
83;"Universidade Positivo (UP)";PR;Privada;0;0;69;11.47;22;7.23;;;103;4.24;;
84;"Faculdades Integradas do Brasil (FACBRASIL)";PR;Privada;;;70;11.46;103;4.24;78;1.95;75;5.27;;
84;"Faculdade Metropolitana de Manaus (FAMETRO)";AM;Privada;;;70;11.46;56;5.97;;;69;5.49;;
86;"Escola Superior Da Amazônia (ESAMAZ)";PA;Privada;;;72;11.43;125;3.43;;;1;8;;
87;"Universidade de Mogi das Cruzes (UMC)";SP;Privada;0;0;73;11.27;133;3.13;53;2.61;68;5.53;0;0
88;"Faculdade de Ciências Administrativas e Contábeis de Itabira (FACCI)";MG;Privada;;;74;11.25;91;4.68;75;2.03;95;4.54;;
