"date","degree","major","school","perfil_id"
"2014 – 2019","Nome do diploma
Bacharelado","Área de estudo
Mecatrônica, Robótica e Engenharia de Controle e Automação","Universidade Federal de Minas Gerais",25
"2014 – 2018","Nome do diploma
Bacharelado em Comunicação Social, Publicidade e Propaganda","","Pontifícia Universidade Católica de Minas Gerais",26
"2014 – 2018","Nome do diploma
Bacharelado em Comunicação Social - Publicidade e Propaganda","Área de estudo
Comunicação","Universidade Federal de Minas Gerais",27
"2012 – 2013","Nome do diploma
Bacharel, jornalismo","Área de estudo
Comunicação e Jornalismo","UFMG - Universidade Federal de Minas Gerais",28
"2010 – 2011","Nome do diploma
Bacharel","Área de estudo
Jornalismo","Universidade do Porto",28
"2006 – 2011","Nome do diploma
Bachelor of Comunication","Área de estudo
Public Relations/Image Management","UFMG - Universidade Federal de Minas Gerais",28
"2009 – 2011","Nome do diploma
Masters","Área de estudo
Computer Science","Federal University of Amazonas",29
"2001 – 2004","Nome do diploma
College","Área de estudo
Computer Science","Federal University of Amazonas",29
"2000 – 2000","","","Colegio Militar de Manaus",29
"2014 – 2020","","Área de estudo
Engenharia Mecânica","Universidade Federal de Minas Gerais",30
"2008 – 2012","Nome do diploma
Bachelor","Área de estudo
Computer Science","Universidade Federal de Juiz de Fora",31
"2006 – 2008","Nome do diploma
Technical","Área de estudo
Industrial Informatics","Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas",31
"2009 – 2011","Nome do diploma
2011","Área de estudo
Administração","Universidade Estácio de Sá",32
"2007 – 2008","Nome do diploma
Post-graduate","Área de estudo
Interaction Design","Pontifícia Universidade Católica de Minas Gerais",33
"1994 – 1998","Nome do diploma
Bachelor","Área de estudo
Engineering","Escola de Engenharia Kennedy",33
"1991 – 1993","Nome do diploma
High School / Technical School","Área de estudo
Information technology","Colégio Brasileiro",33
"2010 – 2013","Nome do diploma
Master of Science (MSc)","Área de estudo
Distributed Systems","Universidade Federal de Pernambuco",34
"2004 – 2008","Nome do diploma
Bachelor of Science (B.Sc.)","","Universidade Federal de Pernambuco",34
"","","","andre guedes",34
"2005 – 2009","Nome do diploma
Master","Área de estudo
Computer Science, Parallel Programing, Compilers","Universidade Federal de Minas Gerais",35
"2001 – 2004","Nome do diploma
Bachelor","Área de estudo
Computer Science","Universidade Federal de Minas Gerais",35
"2014 – 2018","Nome do diploma
Bachelor of Industrial Engineering","","Universidade Federal de Minas Gerais",36
"2016 – 2016","Nome do diploma
Minor, International Financial Management","Área de estudo
Finance and Accounting","Hogeschool van Amsterdam",36
"2015 – 2016","Nome do diploma
Minor, Business Process Integration Management","Área de estudo
Business and SAP","Hogeschool van Amsterdam",36
"2008 – 2012","Nome do diploma
Bacharel em Sistemas de Informação","Área de estudo
Sistemas de Informação","Colégio Cotemig",37
"2011 – 2014","Nome do diploma
Graduação em Sistemas de Informação","Área de estudo
Tecnologia da Informação","Faculdade Católica Salesiana do Espírito Santo",38
"2016 – 2017","Nome do diploma
Pós Graduação em Ciência de Dados e Big Data","Área de estudo
Data Science/Big Data","Pontifícia Universidade Católica de Minas Gerais",39
"2013","Nome do diploma
MBA em Consultoria Organizacional","Área de estudo
Consultoria Organizacional","Centro Universitário UNA",39
"2012","Nome do diploma
Especialista em Gastronomia (Cozinheiro profissional)","Área de estudo
Culinary Arts/Chef Training","IGA - Instituto gastronomico argentino",39
"2015 – 2016","Nome do diploma
Pós Graduação em Design de Interação","Área de estudo
Design de Interação","Pontifícia Universidade Católica de Minas Gerais",40
"2009 – 2014","Nome do diploma
Bacharel","Área de estudo
Ciência da Computação","Universidade Federal de Minas Gerais",40
"2013 – 2017","Nome do diploma
Bacharelado em Administração","Área de estudo
Administração de Empresas","Fundação Getulio Vargas",41
"2015 – 2015","Nome do diploma
Curso tecnico","Área de estudo
Business e Marketing","Bridge Business College",41
"2012 – 2016","Nome do diploma
Bachelor of Business Administration (B.B.A.)","Área de estudo
Administração de Empresas","Centro Federal de Educação Tecnológica de Minas Gerais",42
"2009 – 2012","Nome do diploma
Turismo e Lazer","Área de estudo
Tourism and Travel Services Management","Centro Federal de Educação Tecnológica de Minas Gerais",42
"2017 – 2017","Nome do diploma
Especialização","Área de estudo
Planejamento e Conteúdo para Redes Sociais e Mídias Digitais","Pontifícia Universidade Católica de Minas Gerais",42
