"name","proficiency","perfil_id"
"Idioma
Português","Fluente ou nativo",71
"Idioma
Inglês","Fluente ou nativo",72
"Idioma
Português","Fluente ou nativo",72
"Idioma
Espanhol","Nível básico a intermediário",73
"Idioma
Inglês","Nível básico a intermediário",73
"Idioma
Português","Fluente ou nativo",73
"Idioma
Inglês","Nível avançado",74
"Idioma
Português","Fluente ou nativo",74
"Idioma
Inglês","",75
"Idioma
Inglês","Nível básico",76
"Idioma
Português","Fluente ou nativo",76
"Idioma
Inglês","",78
"Idioma
English","Nível intermediário",79
"Idioma
Inglês","Nível intermediário",80
"Idioma
English","Fluente ou nativo",81
"Idioma
Portuguese","Fluente ou nativo",81
"Idioma
Spanish","Nível básico a intermediário",81
"Idioma
Português","",82
"Idioma
Português","",83
"Idioma
Inglês","Nível básico a intermediário",84
"Idioma
Português","Fluente ou nativo",84
"Idioma
Inglês","Nível avançado",85
"Idioma
Português","Fluente ou nativo",85
"Idioma
English","Nível avançado",86
"Idioma
Portuguese","Fluente ou nativo",86
"Idioma
Alemão","Nível intermediário",87
"Idioma
Inglês","Fluente ou nativo",87
"Idioma
Japonês","Nível intermediário",87
"Idioma
LIBRAS","Nível intermediário",87
"Idioma
Português","Fluente ou nativo",87
"Idioma
Inglês","Nível básico a intermediário",88
"Idioma
Inglês","",89
"Idioma
Inglês","Nível básico a intermediário",91
"Idioma
Português","Fluente ou nativo",91
"Idioma
Inglês - Intermediário - em curso","",93
"Idioma
English","",94
"Idioma
Espanhol","Nível avançado",95
"Idioma
Francês","Nível intermediário",95
"Idioma
Inglês","Fluente ou nativo",95
"Idioma
Português","Fluente ou nativo",95
"Idioma
English","",96
"Idioma
Italian","",96
"Idioma
Portuguese","",96
"Idioma
Spanish","",96
"Idioma
Espanhol","Nível avançado",97
"Idioma
Anglais","Fluente ou nativo",98
"Idioma
Français","Fluente ou nativo",98
"Idioma
Portugais","Fluente ou nativo",98
"Idioma
English","Nível intermediário",100
"Idioma
Espanhol","Nível básico a intermediário",100
"Idioma
Português","Fluente ou nativo",100
"Idioma
Inglês médio (1100-1500)","Nível básico a intermediário",102
"Idioma
Português","Fluente ou nativo",102
"Idioma
Inglês","Nível intermediário",105
"Idioma
Português","Fluente ou nativo",105
"Idioma
Espanhol","",109
